number,word
W_001,112
W_002,119
W_003,가렵다
W_004,가스
W_005,가슴
W_006,가시
W_007,갇히다
W_008,감금
W_009,감전
W_010,강
W_011,강풍
W_012,개
W_013,거실
W_014,걸렸다
W_015,결박
W_016,경찰
W_017,경찰차
W_018,계단
W_019,고압전선
W_020,고열
W_021,고장
W_022,골절
W_023,공사장
W_024,교통사고
W_025,구급대
W_026,구급대원
W_027,구급차
W_028,구해주세요
W_029,귀
W_030,금가다
W_031,급류
W_032,기절
W_033,기절하다
W_034,깔리다
W_035,끓는물
W_036,남자친구
W_037,남편
W_038,남학생
W_039,납치
W_040,낯선사람
W_041,내일
W_042,냄새나다
W_043,누나
W_044,누수
W_045,누전
W_046,누출
W_047,눈
W_048,다리
W_049,도둑
W_050,도로
W_051,독극물
W_052,동생
W_053,두드러기생기다
W_054,뒤
W_055,뒤통수
W_056,등
W_057,딸
W_058,떨어지다
W_059,뜨거운물
W_060,마당
W_061,말려주세요
W_062,머리
W_063,목
W_064,무너지다
W_065,무릎
W_066,문틈
W_067,물
W_068,밑에
W_069,바다
W_070,반점생기다
W_071,발
W_072,발가락
W_073,발목
W_074,발작
W_075,배
W_076,배고프다
W_077,뱀
W_078,벌
W_079,범람
W_080,벼락
W_081,병원
W_082,보내주세요(경찰)
W_083,보내주세요(구급차)
W_084,복부
W_085,복통
W_086,볼
W_087,부러지다
W_088,부엌
W_089,불
W_090,불나다
W_091,붕괴
W_092,붕대
W_093,비상약
W_094,빌라
W_095,뼈
W_096,사이
W_097,산
W_098,살해
W_099,삼키다
W_100,서랍
W_101,선반
W_102,선생님
W_103,성폭행
W_104,소방관
W_105,소방차
W_106,소화기
W_107,손
W_108,손가락
W_109,손목
W_110,술취한 사람
W_111,숨을안쉬다
W_112,신고하세요(경찰)
W_113,심장마비
W_114,쓰러지다
W_115,아기
W_116,아내
W_117,아들
W_118,아래
W_119,아빠
W_120,아이들
W_121,아저씨
W_122,아줌마
W_123,아파트
W_124,안방
W_125,알려주세요
W_126,앞
W_127,약국
W_128,약사
W_129,어깨
W_130,어린이
W_131,어제
W_132,어지러움
W_133,언니
W_134,얼굴
W_135,엄마
W_136,엘리베이터
W_137,여자친구
W_138,여학생
W_139,연기
W_140,연락해주세요
W_141,열
W_142,열나다
W_143,열어주세요
W_144,옆쪽
W_145,오늘
W_146,오른쪽
W_147,오빠
W_148,옥상
W_149,왼쪽
W_150,욕실
W_151,우리집
W_152,위
W_153,위에
W_154,위협
W_155,유리
W_156,음식물
W_157,응급대원
W_158,응급처리
W_159,의사
W_160,이마
W_161,이물질
W_162,이상한사람
W_163,이웃집
W_164,인대
W_165,임산부
W_166,임신한아내
W_167,자동차
W_168,자살
W_169,자상
W_170,작은방
W_171,장난감
W_172,장단지
W_173,절단
W_174,절도
W_175,조난
W_176,지혈대
W_177,진통제
W_178,질식
W_179,집
W_180,집단폭행
W_181,차밖
W_182,차안
W_183,창문
W_184,창백하다
W_185,체온계
W_186,추락
W_187,출산
W_188,출혈
W_189,친구
W_190,침수
W_191,칼
W_192,코
W_193,탈골
W_194,토하다
W_195,파도
W_196,파편
W_197,팔
W_198,팔꿈치
W_199,폭발
W_200,폭우
W_201,폭행
W_202,피나다
W_203,학교
W_204,학생
W_205,할머니
W_206,할아버지
W_207,함몰되다
W_208,해독제
W_209,해열제
W_210,허리
W_211,허벅지
W_212,현관
W_213,협박
W_214,형
W_215,호흡곤란
W_216,호흡기
W_217,홍수
W_218,화상
W_219,화장실
W_220,화재
