filename,labels,type,length,aug_type
W_001\1-1-original.npz,W_001,val,86,original
W_001\1-1-aug_1_occlusion_0.05&time_reverse_None.npz,W_001,val,86,aug_1_occlusion_0.05&time_reverse_None
W_001\1-1-aug_2_mirror_None&occlusion_0.05.npz,W_001,val,86,aug_2_mirror_None&occlusion_0.05
W_001\1-1-aug_3_occlusion_0.05.npz,W_001,val,86,aug_3_occlusion_0.05
W_001\1-1-aug_4_jitter_0.015&rotate_5.npz,W_001,val,86,aug_4_jitter_0.015&rotate_5
W_001\1-1-aug_5_jitter_0.025&rotate_-5.npz,W_001,val,86,aug_5_jitter_0.025&rotate_-5
W_001\1-1-aug_6_time_reverse_None.npz,W_001,val,86,aug_6_time_reverse_None
W_001\1-1-aug_7_rotate_-5.npz,W_001,val,86,aug_7_rotate_-5
W_001\1-1-aug_8_jitter_0.015&scale_1.2.npz,W_001,val,86,aug_8_jitter_0.015&scale_1.2
W_001\1-1-aug_9_scale_1.2.npz,W_001,val,86,aug_9_scale_1.2
W_001\1-1-aug_10_landmark_drop_0.2&mirror_None.npz,W_001,val,86,aug_10_landmark_drop_0.2&mirror_None
W_001\1-1-aug_11_jitter_0.015.npz,W_001,val,86,aug_11_jitter_0.015
W_001\1-1-aug_12_rotate_-5&scale_1.2.npz,W_001,val,86,aug_12_rotate_-5&scale_1.2
W_001\1-1-aug_13_landmark_drop_0.1&jitter_0.015.npz,W_001,val,86,aug_13_landmark_drop_0.1&jitter_0.015
W_001\1-1-aug_14_landmark_drop_0.2.npz,W_001,val,86,aug_14_landmark_drop_0.2
W_001\1-10-original.npz,W_001,train,84,original
W_001\1-10-aug_1_occlusion_0.05.npz,W_001,train,84,aug_1_occlusion_0.05
W_001\1-10-aug_2_jitter_0.015.npz,W_001,train,84,aug_2_jitter_0.015
W_001\1-10-aug_3_rotate_-5&mirror_None.npz,W_001,train,84,aug_3_rotate_-5&mirror_None
W_001\1-10-aug_4_time_reverse_None.npz,W_001,train,84,aug_4_time_reverse_None
W_001\1-10-aug_5_occlusion_0.05&time_warp_1.2.npz,W_001,train,100,aug_5_occlusion_0.05&time_warp_1.2
W_001\1-10-aug_6_time_warp_1.2&scale_1.2.npz,W_001,train,100,aug_6_time_warp_1.2&scale_1.2
W_001\1-10-aug_7_scale_1.2.npz,W_001,train,84,aug_7_scale_1.2
W_001\1-10-aug_8_time_warp_0.8.npz,W_001,train,67,aug_8_time_warp_0.8
W_001\1-10-aug_9_mirror_None&rotate_5.npz,W_001,train,84,aug_9_mirror_None&rotate_5
W_001\1-10-aug_10_mirror_None.npz,W_001,train,84,aug_10_mirror_None
W_001\1-10-aug_11_jitter_0.015.npz,W_001,train,84,aug_11_jitter_0.015
